lon, lat, M, time_string, depth, catalog_id, event_id
15.675,40.88,3.50,2020-01-03T16:55:51.171354,11.4,15,0
12.58,42.62,3.60,2020-01-12T06:08:57.435600,9.4,15,1
13.039,42.992,4.40,2020-01-03T09:58:58.553881,7.9,15,2
11.404,44.882,3.60,2020-01-27T04:12:27.331748,5.0,15,3
13.412,42.507,3.70,2020-01-24T20:01:38.452771,10.0,15,4
14.935,37.839,4.10,2020-01-02T23:06:36.022498,28.3,15,5
14.736,41.082,3.50,2020-01-15T20:49:22.298410,10.7,15,9
13.263,42.463,3.50,2020-01-26T13:45:01.885523,13.7,15,7
14.736,41.082,3.50,2020-01-15T20:49:22.298410,10.7,15,9
14.736,41.082,3.50,2020-01-15T20:49:22.298410,10.7,15,9
11.319,44.005,3.70,2020-01-07T02:52:24.129461,7.3,15,10
13.192,42.807,4.10,2020-01-07T13:33:54.613758,9.4,16,0
10.938,43.158,3.90,2020-01-23T10:01:11.294251,6.1,16,1
14.26,41.752,3.60,2020-01-18T15:14:18.588588,11.1,16,2
16.788,38.677,3.90,2020-01-16T11:43:59.754300,9.3,16,3
14.72,37.879,3.70,2020-01-18T18:19:35.277163,15.1,16,4
13.37,42.37,3.80,2020-01-06T21:16:50.484232,10.2,16,5
13.139,42.892,3.90,2020-01-10T01:46:20.445502,8.9,16,6
13.137,43.02,4.60,2020-01-05T02:09:45.651072,8.7,16,7
13.263,42.463,4.10,2020-01-24T01:42:55.433699,13.7,16,8
13.121,42.808,3.80,2020-01-20T07:10:52.057274,9.5,17,0
13.288,42.616,3.50,2020-01-15T20:32:33.648238,9.4,17,1
17.123,38.941,3.70,2020-01-17T13:38:47.280705,10.0,17,2
13.496,42.268,3.80,2020-01-15T18:25:05.655640,10.3,17,3
13.51,43.044,4.30,2020-01-05T14:28:34.983935,11.1,17,4
13.263,42.463,3.80,2020-01-15T17:59:12.461557,13.7,17,8
14.935,37.839,3.70,2020-01-17T09:07:26.361047,28.3,17,6
11.319,44.005,3.90,2020-01-15T21:46:07.552985,7.3,17,7
13.263,42.463,3.80,2020-01-15T17:59:12.461557,13.7,17,8
7.378,44.342,3.70,2020-01-08T17:34:40.326533,6.9,18,0
13.278,42.565,3.60,2020-01-09T10:10:14.311763,10.4,18,1
13.453,42.44,3.50,2020-01-03T20:02:17.765318,10.0,18,2
13.199,42.767,3.50,2020-01-24T03:21:44.968100,9.3,18,3
15.565,41.94,3.50,2020-01-06T20:06:38.063319,19.6,18,4
14.223,37.834,3.60,2020-01-07T00:28:48.582435,4.5,18,5
13.689,41.584,3.60,2020-01-09T01:25:44.828378,11.0,18,6
13.241,42.52,3.70,2020-01-24T10:49:31.364695,10.8,18,7
14.85,37.782,3.60,2020-01-23T18:44:05.734072,27.4,18,8
13.121,43.013,3.80,2020-01-07T23:40:11.869033,9.1,18,9
13.516,42.268,3.70,2020-01-17T11:45:38.183127,9.3,18,10
13.151,42.763,3.60,2020-01-02T18:44:30.988213,10.1,18,11
14.736,41.082,3.70,2020-01-06T02:04:14.474716,10.7,18,14
11.319,44.005,4.00,2020-01-15T23:51:38.184666,7.3,18,13
14.736,41.082,3.70,2020-01-06T02:04:14.474716,10.7,18,14
14.935,37.839,3.50,2020-01-21T13:36:28.546424,28.3,18,21
14.935,37.839,3.50,2020-01-21T13:36:28.546424,28.3,18,21
14.935,37.839,3.50,2020-01-21T13:36:28.546424,28.3,18,21
14.739,41.069,3.50,2020-01-02T03:45:40.726228,10.9,18,20
14.739,41.069,3.50,2020-01-02T03:45:40.726228,10.9,18,20
14.739,41.069,3.50,2020-01-02T03:45:40.726228,10.9,18,20
14.935,37.839,3.50,2020-01-21T13:36:28.546424,28.3,18,21
16.259,38.031,4.00,2020-01-11T13:40:43.253986,10.8,19,0
13.294,42.535,3.70,2020-01-14T09:01:45.209794,10.0,19,1
14.996,37.409,3.50,2020-01-27T08:27:38.628597,9.0,19,2
14.188,37.919,3.60,2020-01-08T17:15:03.407954,2.6,19,3
12.372,43.499,4.30,2020-01-02T07:57:02.641359,18.9,19,4
14.983,37.681,4.00,2020-01-27T21:21:15.990241,13.0,19,5
13.263,42.463,3.80,2020-01-10T01:49:54.006585,13.7,19,6
14.935,37.839,3.80,2020-01-21T10:27:10.849901,28.3,19,10
11.319,44.005,3.80,2020-01-20T21:35:44.475501,7.3,19,9
11.319,44.005,3.80,2020-01-20T21:35:44.475501,7.3,19,9
14.935,37.839,3.80,2020-01-21T10:27:10.849901,28.3,19,10
14.736,41.082,3.90,2020-01-20T11:51:24.472315,10.7,19,11
9.221,44.598,3.70,2020-01-08T16:32:34.485073,8.6,20,0
12.664,42.832,3.70,2020-01-05T02:55:04.209763,5.3,20,1
13.251,42.562,3.70,2020-01-07T07:57:32.806548,9.9,20,2
11.444,43.323,3.50,2020-01-23T13:31:44.279924,6.4,20,3
13.263,42.463,3.60,2020-01-21T07:12:44.827483,13.7,20,5
13.263,42.463,3.60,2020-01-21T07:12:44.827483,13.7,20,5
14.739,41.069,3.70,2020-01-03T13:29:10.792650,10.9,20,6
13.289,42.562,3.80,2020-01-01T18:32:59.814744,10.5,21,0
11.22,43.607,5.80,2020-01-11T06:40:47.492998,8.3,21,1
13.237,43.714,3.50,2020-01-16T11:27:51.313619,4.6,21,2
13.496,42.267,6.90,2020-01-15T06:08:49.204311,10.0,21,3
13.251,43.245,3.70,2020-01-20T08:30:08.481198,22.5,21,4
15.976,39.885,3.50,2020-01-01T12:53:48.293840,8.4,21,5
14.935,37.839,4.00,2020-01-16T17:36:06.342983,28.3,21,11
11.319,44.005,4.30,2020-01-04T18:53:35.181140,7.3,21,8
11.319,44.005,4.30,2020-01-04T18:53:35.181140,7.3,21,8
14.935,37.839,4.00,2020-01-16T17:36:06.342983,28.3,21,11
14.935,37.839,4.00,2020-01-16T17:36:06.342983,28.3,21,11
14.935,37.839,4.00,2020-01-16T17:36:06.342983,28.3,21,11
13.107,42.782,3.50,2020-01-24T07:19:32.718560,10.2,22,0
11.238,44.069,3.80,2020-01-26T00:20:02.435471,5.9,22,1
13.273,42.224,4.00,2020-01-01T17:21:52.253326,9.7,22,2
9.875,44.855,5.50,2020-01-02T03:20:34.092447,26.3,22,3
13.316,42.614,3.80,2020-01-20T08:56:33.676473,6.9,22,4
14.935,37.839,3.60,2020-01-16T06:11:27.092331,28.3,22,7
11.319,44.005,3.50,2020-01-06T01:45:31.925444,7.3,22,6
14.935,37.839,3.60,2020-01-16T06:11:27.092331,28.3,22,7
13.263,42.463,3.60,2020-01-23T11:02:27.945071,13.7,22,8
14.739,41.069,3.70,2020-01-27T17:31:01.276638,10.9,22,9
13.039,42.821,3.60,2020-01-23T11:17:28.739561,9.6,23,0
12.944,42.952,3.80,2020-01-13T01:12:31.093589,11.0,23,1
13.039,43.064,3.50,2020-01-12T21:43:56.898030,8.2,23,2
13.59,42.271,4.00,2020-01-11T09:35:20.064237,7.6,23,3
16.242,38.964,4.00,2020-01-16T20:04:07.933184,9.7,23,4
10.165,44.161,4.30,2020-01-26T15:47:05.223287,6.3,23,5
14.376,37.93,3.80,2020-01-12T20:50:48.910859,24.0,23,6
11.072,44.881,5.10,2020-01-16T05:54:50.681500,5.0,23,7
13.263,42.463,4.00,2020-01-05T12:39:41.083378,13.7,23,11
14.736,41.082,4.70,2020-01-11T18:45:51.785272,10.7,23,12
14.935,37.839,3.60,2020-01-23T10:32:55.308355,28.3,23,10
13.263,42.463,4.00,2020-01-05T12:39:41.083378,13.7,23,11
14.736,41.082,4.70,2020-01-11T18:45:51.785272,10.7,23,12
11.319,44.005,3.60,2020-01-11T11:54:39.168680,7.3,23,13
15.227,37.768,3.50,2020-01-15T05:29:34.462398,9.0,24,0
13.137,42.738,4.00,2020-01-06T21:21:08.913377,12.1,24,1
12.375,43.5,3.50,2020-01-05T11:35:54.261165,6.0,24,2
16.019,38.299,3.60,2020-01-19T02:07:24.702299,14.9,24,3
13.252,42.539,3.50,2020-01-12T21:50:37.507219,11.7,24,4
13.12,43.432,3.60,2020-01-19T04:28:39.139725,6.1,24,5
15.812,40.507,3.80,2020-01-04T23:40:33.200511,23.6,24,6
13.186,42.641,3.50,2020-01-25T11:34:13.149279,11.4,24,7
11.319,44.005,4.30,2020-01-23T15:41:07.593709,7.3,24,14
13.263,42.463,3.70,2020-01-27T00:27:14.112606,13.7,24,9
14.935,37.839,4.30,2020-01-07T02:16:47.905582,28.3,24,10
14.736,41.082,4.40,2020-01-06T09:43:41.754781,10.7,24,12
14.736,41.082,4.40,2020-01-06T09:43:41.754781,10.7,24,12
11.319,44.005,4.30,2020-01-23T15:41:07.593709,7.3,24,14
11.319,44.005,4.30,2020-01-23T15:41:07.593709,7.3,24,14
10.18,44.187,3.80,2020-01-15T21:26:17.088576,6.8,25,0
12.492,43.395,3.60,2020-01-28T11:57:27.799052,8.6,25,1
13.048,43.049,3.70,2020-01-03T22:47:10.510794,8.6,25,2
14.783,41.718,3.60,2020-01-08T08:36:59.604670,21.9,25,3
13.263,42.463,3.70,2020-01-25T00:34:52.238848,13.7,25,4
14.736,41.082,3.80,2020-01-10T07:41:03.634327,10.7,25,8
14.739,41.069,3.80,2020-01-01T23:44:39.673875,10.9,25,6
11.319,44.005,4.00,2020-01-21T05:19:45.848074,7.3,25,7
14.736,41.082,3.80,2020-01-10T07:41:03.634327,10.7,25,8
13.966,37.822,3.60,2020-01-27T20:04:03.382744,7.7,26,0
14.751,38.357,3.50,2020-01-28T12:25:59.765628,10.0,26,1
13.08,42.756,3.70,2020-01-13T04:04:30.694077,10.1,26,2
13.095,43.048,4.00,2020-01-09T11:47:32.635665,9.0,26,3
7.445,44.268,3.80,2020-01-20T08:14:59.908311,10.8,26,4
11.246,44.853,3.70,2020-01-25T03:19:05.247195,7.9,26,5
14.152,41.816,4.30,2020-01-15T07:33:38.823522,8.8,26,6
13.312,42.539,3.50,2020-01-06T15:52:55.130107,10.2,26,7
14.739,41.069,3.80,2020-01-14T05:00:39.415111,10.9,26,8
14.736,41.082,3.60,2020-01-14T23:23:24.075611,10.7,26,9
13.263,42.463,3.50,2020-01-09T18:37:03.619288,13.7,26,12
13.263,42.463,3.50,2020-01-09T18:37:03.619288,13.7,26,12
13.263,42.463,3.50,2020-01-09T18:37:03.619288,13.7,26,12
10.954,44.874,3.70,2020-01-01T15:41:38.982294,8.0,27,0
13.03,42.808,3.80,2020-01-12T19:17:10.570705,10.0,27,1
13.044,42.834,4.60,2020-01-23T01:32:09.903226,9.9,27,2
14.588,41.532,4.10,2020-01-04T04:09:29.853731,9.9,27,3
13.423,42.452,3.50,2020-01-28T07:55:48.505547,9.6,27,4
14.739,41.069,4.50,2020-01-09T10:58:30.881159,10.9,27,9
14.935,37.839,4.70,2020-01-28T20:28:58.633155,28.3,27,7
14.935,37.839,4.70,2020-01-28T20:28:58.633155,28.3,27,7
14.739,41.069,4.50,2020-01-09T10:58:30.881159,10.9,27,9
14.739,41.069,4.50,2020-01-09T10:58:30.881159,10.9,27,9
9.997,45.851,4.50,2020-01-14T07:48:33.859011,8.5,28,0
13.15,42.532,5.00,2020-01-02T04:04:48.137295,9.6,28,1
13.071,43.005,3.60,2020-01-16T15:59:28.673083,9.4,28,2
13.072,43.015,4.60,2020-01-09T00:43:30.649109,8.8,28,3
15.488,40.743,3.70,2020-01-09T20:54:50.209349,7.3,28,4
11.247,44.911,4.40,2020-01-23T02:57:16.384857,9.3,28,5
11.252,44.063,3.70,2020-01-11T19:38:42.106880,8.1,28,6
12.541,43.371,3.50,2020-01-27T03:43:07.840290,8.3,28,7
14.739,41.069,4.30,2020-01-11T11:40:11.111023,10.9,28,9
14.739,41.069,4.30,2020-01-11T11:40:11.111023,10.9,28,9
11.319,44.005,3.80,2020-01-15T22:31:31.060152,7.3,28,10
13.195,42.721,3.60,2020-01-28T12:12:12.791869,9.9,29,0
16.101,39.911,4.30,2020-01-17T22:19:11.783593,6.9,29,1
15.198,37.835,4.00,2020-01-18T20:59:35.104041,6.4,29,2
13.021,43.009,4.00,2020-01-16T12:25:51.031144,5.6,29,3
10.835,44.268,4.40,2020-01-11T09:54:04.369162,17.5,29,4
11.848,38.319,4.20,2020-01-16T23:08:47.369345,14.5,29,5
14.137,46.068,3.80,2020-01-11T16:14:55.662267,10.0,29,6
11.021,44.883,3.60,2020-01-03T20:10:27.946424,7.8,29,7
11.963,42.694,3.50,2020-01-16T12:24:07.690068,8.1,29,8
13.263,42.463,4.10,2020-01-08T17:29:02.717740,13.7,29,9
14.736,41.082,3.90,2020-01-15T17:14:51.101779,10.7,29,10
13.115,42.8,4.10,2020-01-26T06:19:00.364225,10.6,30,0
16.579,40.712,4.00,2020-01-26T06:27:53.146823,9.2,30,1
12.675,41.725,3.60,2020-01-14T13:31:47.205552,10.4,30,2
13.179,42.891,3.70,2020-01-11T18:24:47.388653,6.6,30,3
14.604,36.712,3.70,2020-01-16T18:53:41.063519,27.9,30,4
13.11,43.039,3.80,2020-01-14T01:19:02.118033,8.1,30,5
14.918,38.407,3.50,2020-01-11T13:30:06.026647,14.6,30,6
12.981,42.661,3.80,2020-01-25T04:14:15.631670,11.3,30,7
13.147,42.988,3.90,2020-01-22T07:56:25.368526,7.8,30,8
14.739,41.069,3.50,2020-01-15T21:06:20.486062,10.9,30,9
13.263,42.463,4.10,2020-01-27T02:15:32.740372,13.7,30,12
14.736,41.082,3.90,2020-01-06T14:29:34.437061,10.7,30,14
13.263,42.463,4.10,2020-01-27T02:15:32.740372,13.7,30,12
14.736,41.082,3.90,2020-01-06T14:29:34.437061,10.7,30,14
14.736,41.082,3.90,2020-01-06T14:29:34.437061,10.7,30,14
11.319,44.005,3.60,2020-01-18T16:41:57.211615,7.3,30,15
16.026,39.943,3.50,2020-01-09T20:32:44.415066,8.7,31,0
13.072,43.024,3.60,2020-01-06T01:21:27.402550,8.8,31,1
14.514,41.035,5.10,2020-01-10T03:46:45.814851,6.4,31,2
12.76,43.343,4.00,2020-01-12T07:03:34.744051,10.4,31,3
11.3,44.881,3.60,2020-01-27T22:54:46.715654,3.1,31,4
15.166,37.598,3.50,2020-01-05T13:01:42.458019,4.9,31,5
13.532,42.284,5.20,2020-01-26T22:57:50.440141,16.3,31,6
16.922,40.851,3.50,2020-01-06T12:56:08.294198,29.1,31,7
13.263,42.463,3.80,2020-01-16T23:46:36.005465,13.7,31,16
14.736,41.082,4.30,2020-01-24T11:06:43.726576,10.7,31,9
14.935,37.839,4.00,2020-01-21T18:34:25.906615,28.3,31,10
11.319,44.005,3.60,2020-01-06T23:52:54.752271,7.3,31,15
14.739,41.069,3.60,2020-01-03T08:28:04.386330,10.9,31,12
11.319,44.005,3.60,2020-01-06T23:52:54.752271,7.3,31,15
13.263,42.463,3.80,2020-01-16T23:46:36.005465,13.7,31,16
11.319,44.005,3.60,2020-01-06T23:52:54.752271,7.3,31,15
13.263,42.463,3.80,2020-01-16T23:46:36.005465,13.7,31,16
12.949,40.81,3.70,2020-01-25T05:46:14.359835,5.0,32,0
14.167,41.811,3.80,2020-01-05T20:19:22.563938,14.4,32,1
15.155,37.01,3.50,2020-01-19T20:00:57.558619,7.9,32,2
